YouTube Link,Song,Artist,Album,Year,Duration,Trim Start,Trim End,Era
https://www.youtube.com/watch?v=nhrryd_yNcQ,Es neesmu neprātīgs,Viktors Lapčenoks,,1980,233,5,10,vintage
https://www.youtube.com/watch?v=HZhviu25Dqs,Seno laiku ainas,Remix,,1988,269,5,10,vintage
https://www.youtube.com/watch?v=Tyi-ZHz6hJY,Mājupceļš,Opus,,1986,257,5,10,vintage
https://www.youtube.com/watch?v=1s26Cw0G74g,Vēstule (Sēžu pie ratiņa),Turaidas Roze,,1986,284,5,10,vintage
https://www.youtube.com/watch?v=3BTsrLLQtQA,"Puiši, puiši",Jumprava,,1989,138,5,10,vintage
https://www.youtube.com/watch?v=RjdfG1t6h-w,Rīgas modes,Dzeltenie Pastnieki,,1982,234,5,10,vintage
https://www.youtube.com/watch?v=SuLxMDgGS4I,Milžu cīņa,Dzeltenie Pastnieki,,1984,302,5,10,vintage
https://www.youtube.com/watch?v=Uu9WPdYu6Mo,Man vienalga,Remix,,1988,386,5,10,vintage
https://www.youtube.com/watch?v=ktztsPzrCy8,Piedod man,Zodiaks (Maija Lūsēna),,1989,234,5,10,vintage
https://www.youtube.com/watch?v=RMB5YC2mgVA,Soli pa solim,Jumprava,,1988,223,5,10,vintage
https://www.youtube.com/watch?v=PnfwOte1V7s,Tēvu zeme,Igo,,1988,242,5,10,vintage
https://www.youtube.com/watch?v=IoZtocq-Wgc,Kerijas dziesma,Credo (versija),,1981,807,5,10,vintage
https://www.youtube.com/watch?v=eZLgGbGByV8,Es mīlu tevi tā...,Viktors Lapčenoks,,1981,204,5,10,vintage
https://www.youtube.com/watch?v=WO0ByoDCnxQ,Lidotāja sapnis,Uldis Stabulnieks,,1985,141,5,10,vintage
https://www.youtube.com/watch?v=iNjU-yAXi6M,Jūras balss,Aija Kukule,,1982,214,5,10,vintage
https://www.youtube.com/watch?v=pcwjK9MMikI,Viens un tas pats,Uldis Marhilevičs / Remix,,1987,408,5,10,vintage
https://www.youtube.com/watch?v=S6xJvYJQjMw,Nevajag mierināt,Igo,,1984,254,5,10,vintage
https://www.youtube.com/watch?v=rXciI9Fnln8,Dziesma par pazaudēto laiku,Eolika (disko versija),,1982,265,5,10,vintage
https://www.youtube.com/watch?v=5KNGmtkaVDM,Apvij rokas,Turaidas Roze,,1985,277,5,10,vintage
https://www.youtube.com/watch?v=uMq7hT2kVY4,Kāpēc man dziedāt svešu dziesmu,Pērkons,,1989,265,5,10,vintage
https://www.youtube.com/watch?v=d_2dcMURZyw,Straume,Ieva Akuratere / Pērkons,,1988,262,5,10,vintage
https://www.youtube.com/watch?v=25zx1oMo2Qg,Vēstule,Zodiaks,,1988,346,5,10,vintage
https://www.youtube.com/watch?v=y-xXCNwE4gA,Svētuguns,Remix,,1989,201,5,10,vintage
https://www.youtube.com/watch?v=HY5jQQdZGmY,Princesīte,6. jūdze (tolaik Klaidonis),,1988,176,5,10,vintage
https://www.youtube.com/watch?v=jWe8rd5YoHQ,Kad Saule riet,Credo,,1980,264,5,10,vintage
https://www.youtube.com/watch?v=4qPD51FQS78,Dziedi jel,Līvi,,1985,182,5,10,vintage
https://www.youtube.com/watch?v=kdnwYuUGn8I,Pavasaris,Jauns Mēness (pirmsākumi),,1989,201,5,10,vintage
https://www.youtube.com/watch?v=boWj23pOJC0,Veltījums LTV,Zodiaks,,1987,243,5,10,vintage
https://www.youtube.com/watch?v=vpobuRul0Cw,Vajag smērēt,Varavīksne,,1986,233,5,10,vintage
https://www.youtube.com/watch?v=1d5k3H5eTQI,"Labu vakar, Latvija",Čikāgas Piecīši,,1989,97,5,10,vintage
https://www.youtube.com/watch?v=x6lwT_sFC68,Klusā daba,Remix,,1986,236,5,10,vintage
https://www.youtube.com/watch?v=Mn0cGjp0dTY,Manā sirdī,Turaidas Roze,,1988,243,5,10,vintage
https://www.youtube.com/watch?v=YP_Xszj36Ww,Lidmašīnas,Prāta Vētra,,1996,283,5,10,vcr
https://www.youtube.com/watch?v=ZGQXS091_Xw,Piekūns skrien debesīs,Jauns Mēness,,1991,301,5,10,vcr
https://www.youtube.com/watch?v=ICHXg_imSHY,Alumīnija cūka,Labvēlīgais Tips,,1995,246,5,10,vcr
https://www.youtube.com/watch?v=LHmCK_Dagjw,Nāc man līdz,Linga,,1992,260,5,10,vcr
https://www.youtube.com/watch?v=iqi-d9r-xvU,Tavas mājas manā azotē,Prāta Vētra,,1996,280,5,10,vcr
https://www.youtube.com/watch?v=Lxm0nfOxyZo,Vakara vējā,Bet Bet,,1997,381,5,10,vcr
https://www.youtube.com/watch?v=cr_2mHkmxYk,Man patīk,100. Debija,,1998,229,5,10,vcr
https://www.youtube.com/watch?v=xcfl1opuml4,Kādā brīnišķā dienā,Ainars Mielavs,,1999,272,5,10,vcr
https://www.youtube.com/watch?v=lKzhPWi44EM,"Ai, jel manu vieglu prātu",Jauns Mēness,,1997,223,5,10,vcr
https://www.youtube.com/watch?v=t28tgZCS7es,Christian (I'm Gonna Be Daddy),The Hobos,,1999,168,5,10,vcr
https://www.youtube.com/watch?v=7RoKZ31GjY0,Dūdieviņš,Aigars Grāvers,,1994,223,5,10,vcr
https://www.youtube.com/watch?v=ajE_d4c7NpY,Zemenes,Apvedceļš,,1999,225,5,10,vcr
https://www.youtube.com/watch?v=7zhwi7DDyWA,Pusnakts stundā,Prāta Vētra,,1998,212,5,10,vcr
https://www.youtube.com/watch?v=_Q5P4W0mBP0,Omnibuss,Labvēlīgais Tips,,1997,227,5,10,vcr
https://www.youtube.com/watch?v=Qc4G8GZ7PLE,Divatā,100. Debija,,1995,229,5,10,vcr
https://www.youtube.com/watch?v=Wqs4EyCHrmU,Kad mēness jūrā krīt,Jauns Mēness,,1993,276,5,10,vcr
https://www.youtube.com/watch?v=DxD1iN-ENyQ,Baltā dziesma,Jumprava,,1991,283,5,10,vcr
https://www.youtube.com/watch?v=vjkHd77I_n0,Nevaru būt balts,Tranzīts,,1996,254,5,10,vcr
https://www.youtube.com/watch?v=punW4Z_oSF8,Es neesmu Džeina Fonda,Betsafe / Linga,,1992,192,5,10,vcr
https://www.youtube.com/watch?v=dRKhXgFHmHw,Pēdējais tramvajs,Jumprava,,1998,265,5,10,vcr
https://www.youtube.com/watch?v=dABT8OkeOYI,Pieklauvē,Bet Bet,,1997,233,5,10,vcr
https://www.youtube.com/watch?v=NkNmrZvQc_s,Čiekurs egles dēls,Labvēlīgais Tips,,1996,322,5,10,vcr
https://www.youtube.com/watch?v=XMoFQO71Kfw,Lecam pa vecam,Prāta Vētra,,1999,322,5,10,vcr
https://www.youtube.com/watch?v=viv4w1osUEY,Krodziņš,Linga,,1991,207,5,10,vcr
https://www.youtube.com/watch?v=b__u0LglS1Y,Pārdaugava,Pienvedēja Piedzīvojumi,,1997,338,5,10,vcr
